timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653502241484,202,GetHost,200,OK,CreateIssueThreadGroup 2-1,text,true,,5708,288,1,5,http://localhost/login_page.php,99,0,1
1653502241484,99,GetHost-0,302,Found,CreateIssueThreadGroup 2-1,text,true,,711,114,1,5,http://localhost/,99,0,1
1653502241584,102,GetHost-1,200,OK,CreateIssueThreadGroup 2-1,text,true,,4997,174,1,5,http://localhost/login_page.php,102,0,0
1653502241484,203,GetHost,200,OK,CloseIssueThreadGroup 3-1,text,true,,5708,288,1,5,http://localhost/login_page.php,103,0,1
1653502241484,103,GetHost-0,302,Found,CloseIssueThreadGroup 3-1,text,true,,711,114,1,5,http://localhost/,103,0,1
1653502241587,100,GetHost-1,200,OK,CloseIssueThreadGroup 3-1,text,true,,4997,174,1,5,http://localhost/login_page.php,100,0,0
1653502241484,208,GetHost,200,OK,LoginThreadGroup 1-1,text,true,,5708,288,1,5,http://localhost/login_page.php,100,0,1
1653502241484,100,GetHost-0,302,Found,LoginThreadGroup 1-1,text,true,,711,114,1,5,http://localhost/,100,0,1
1653502241584,108,GetHost-1,200,OK,LoginThreadGroup 1-1,text,true,,4997,174,1,5,http://localhost/login_page.php,108,0,0
1653502241502,202,GetHost,200,OK,CreateUserThreadGroup 4-1,text,true,,5708,288,1,5,http://localhost/login_page.php,103,0,0
1653502241502,103,GetHost-0,302,Found,CreateUserThreadGroup 4-1,text,true,,711,114,1,5,http://localhost/,103,0,0
1653502241605,99,GetHost-1,200,OK,CreateUserThreadGroup 4-1,text,true,,4997,174,1,5,http://localhost/login_page.php,99,0,0
1653502241503,221,GetHost,200,OK,CreateProjectThreadGroup 5-1,text,true,,5708,288,1,5,http://localhost/login_page.php,123,0,1
1653502241503,123,GetHost-0,302,Found,CreateProjectThreadGroup 5-1,text,true,,711,114,1,5,http://localhost/,123,0,1
1653502241626,98,GetHost-1,200,OK,CreateProjectThreadGroup 5-1,text,true,,4997,174,1,5,http://localhost/login_page.php,98,0,0
1653502241688,91,SendLogin,200,OK,CloseIssueThreadGroup 3-1,text,true,,5456,305,1,5,http://localhost/login_password_page.php,91,0,0
1653502241686,93,SendLogin,200,OK,CreateIssueThreadGroup 2-1,text,true,,5454,304,1,5,http://localhost/login_password_page.php,93,0,0
1653502241692,103,SendLogin,200,OK,LoginThreadGroup 1-1,text,true,,5458,306,1,5,http://localhost/login_password_page.php,103,0,0
1653502241704,100,SendLogin,200,OK,CreateUserThreadGroup 4-1,text,true,,5460,307,1,5,http://localhost/login_password_page.php,100,0,0
1653502241724,102,SendLogin,200,OK,CreateProjectThreadGroup 5-1,text,true,,5460,307,1,5,http://localhost/login_password_page.php,102,0,0
1653502241804,584,PostLogin,200,OK,CreateUserThreadGroup 4-1,text,true,,14081,930,1,5,http://localhost/account_page.php,365,0,0
1653502241804,365,PostLogin-0,302,Found,CreateUserThreadGroup 4-1,text,true,,845,325,1,5,http://localhost/login.php,365,0,0
1653502242169,69,PostLogin-1,302,Found,CreateUserThreadGroup 4-1,text,true,,644,317,1,5,http://localhost/login_cookie_test.php?return=account_page.php,69,0,0
1653502242238,150,PostLogin-2,200,OK,CreateUserThreadGroup 4-1,text,true,,12592,288,1,5,http://localhost/account_page.php,149,0,0
1653502241826,631,PostLogin,200,OK,CreateProjectThreadGroup 5-1,text,true,,14081,930,1,5,http://localhost/account_page.php,437,0,0
1653502241826,437,PostLogin-0,302,Found,CreateProjectThreadGroup 5-1,text,true,,845,325,1,5,http://localhost/login.php,437,0,0
1653502242263,88,PostLogin-1,302,Found,CreateProjectThreadGroup 5-1,text,true,,644,317,1,5,http://localhost/login_cookie_test.php?return=account_page.php,88,0,0
1653502242351,106,PostLogin-2,200,OK,CreateProjectThreadGroup 5-1,text,true,,12592,288,1,5,http://localhost/account_page.php,106,0,0
1653502242388,90,GetManagePage,200,OK,CreateUserThreadGroup 4-1,text,true,,11632,299,1,5,http://localhost/manage_overview_page.php%20,90,0,0
1653502241779,701,PostLogin,200,OK,CloseIssueThreadGroup 3-1,text,true,,49909,1204,1,5,http://localhost/my_view_page.php,321,0,0
1653502241779,321,PostLogin-0,302,Found,CloseIssueThreadGroup 3-1,text,true,,838,325,1,5,http://localhost/login.php,321,0,0
1653502242100,84,PostLogin-1,302,Found,CloseIssueThreadGroup 3-1,text,true,,637,310,1,5,http://localhost/login_cookie_test.php?return=index.php,84,0,0
1653502242185,75,PostLogin-2,302,Found,CloseIssueThreadGroup 3-1,text,true,,644,281,1,5,http://localhost/index.php,75,0,0
1653502242260,220,PostLogin-3,200,OK,CloseIssueThreadGroup 3-1,text,true,,47790,288,1,5,http://localhost/my_view_page.php,219,0,0
1653502241795,720,PostLogin,200,OK,LoginThreadGroup 1-1,text,true,,54275,1205,1,5,http://localhost/my_view_page.php,305,0,0
1653502241795,305,PostLogin-0,302,Found,LoginThreadGroup 1-1,text,true,,838,326,1,5,http://localhost/login.php,305,0,0
1653502242100,87,PostLogin-1,302,Found,LoginThreadGroup 1-1,text,true,,637,310,1,5,http://localhost/login_cookie_test.php?return=index.php,87,0,0
1653502242187,73,PostLogin-2,302,Found,LoginThreadGroup 1-1,text,true,,644,281,1,5,http://localhost/index.php,73,0,0
1653502242260,255,PostLogin-3,200,OK,LoginThreadGroup 1-1,text,true,,52156,288,1,5,http://localhost/my_view_page.php,254,0,0
1653502242458,176,GetManagePage,200,OK,CreateProjectThreadGroup 5-1,text,true,,11632,299,1,5,http://localhost/manage_overview_page.php%20,175,0,0
1653502242516,150,GetHost,200,OK,LoginThreadGroup 1-1,text,true,,5707,288,1,5,http://localhost/login_page.php,76,0,0
1653502242516,76,GetHost-0,302,Found,LoginThreadGroup 1-1,text,true,,710,114,1,5,http://localhost/,76,0,0
1653502242592,74,GetHost-1,200,OK,LoginThreadGroup 1-1,text,true,,4997,174,1,5,http://localhost/login_page.php,74,0,0
1653502241779,891,PostLogin,200,OK,CreateIssueThreadGroup 2-1,text,true,,51001,1203,1,5,http://localhost/my_view_page.php,448,0,0
1653502241779,448,PostLogin-0,302,Found,CreateIssueThreadGroup 2-1,text,true,,838,324,1,5,http://localhost/login.php,448,0,0
1653502242227,84,PostLogin-1,302,Found,CreateIssueThreadGroup 2-1,text,true,,637,310,1,5,http://localhost/login_cookie_test.php?return=index.php,84,0,0
1653502242311,86,PostLogin-2,302,Found,CreateIssueThreadGroup 2-1,text,true,,644,281,1,5,http://localhost/index.php,86,0,0
1653502242397,273,PostLogin-3,200,OK,CreateIssueThreadGroup 2-1,text,true,,48882,288,1,5,http://localhost/my_view_page.php,272,0,0
1653502242480,187,GetBugsPage,200,OK,CloseIssueThreadGroup 3-1,text,true,,72806,293,1,5,http://localhost/view_all_bug_page.php,186,0,0
1653502242478,215,GetManageUsersPage,200,OK,CreateUserThreadGroup 4-1,text,true,,30673,292,1,5,http://localhost/manage_user_page.php,214,0,0
1653502242634,90,GetManageProjectPage,200,OK,CreateProjectThreadGroup 5-1,text,true,,14967,292,1,5,http://localhost/manage_proj_page.php,89,0,0
1653502242666,102,SendLogin,200,OK,LoginThreadGroup 1-1,text,true,,5454,304,1,5,http://localhost/login_password_page.php,102,0,0
1653502242670,102,BugReportPageGet,200,OK,CreateIssueThreadGroup 2-1,text,true,,19365,291,1,5,http://localhost/bug_report_page.php,102,0,0
1653502242693,101,GetManageCreateUserPage,200,OK,CreateUserThreadGroup 4-1,text,true,,12648,299,1,5,http://localhost/manage_user_create_page.php,100,0,0
1653502242724,110,PostManageProjectCreatePage,200,OK,CreateProjectThreadGroup 5-1,text,true,,12573,454,1,5,http://localhost/manage_proj_create_page.php,110,0,0
1653502242773,133,BugReportPost,200,OK,CreateIssueThreadGroup 2-1,text,true,,10167,766,1,5,http://localhost/bug_report.php,133,0,0
1653502242796,116,PostCreateUser,200,OK,CreateUserThreadGroup 4-1,text,true,,10404,526,1,5,http://localhost/manage_user_create.php,115,0,0
1653502242671,266,GetBug,200,OK,CloseIssueThreadGroup 3-1,text,true,,28069,533,1,5,http://localhost/view.php?id=31,238,0,0
1653502242835,140,PostCreateProject,200,OK,CreateProjectThreadGroup 5-1,text,true,,10065,523,1,5,http://localhost/manage_proj_create.php,140,0,0
1653502242907,155,GetHost,200,OK,CreateIssueThreadGroup 2-1,text,true,,5707,288,1,5,http://localhost/login_page.php,70,0,0
1653502242907,70,GetHost-0,302,Found,CreateIssueThreadGroup 2-1,text,true,,710,114,1,5,http://localhost/,70,0,0
1653502242977,85,GetHost-1,200,OK,CreateIssueThreadGroup 2-1,text,true,,4997,174,1,5,http://localhost/login_page.php,85,0,0
1653502243062,206,SendLogin,200,OK,CreateIssueThreadGroup 2-1,text,true,,5456,305,1,5,http://localhost/login_password_page.php,206,0,0
1653502242976,293,GetHost,200,OK,CreateProjectThreadGroup 5-1,text,true,,5707,288,1,5,http://localhost/login_page.php,80,0,0
1653502242976,80,GetHost-0,302,Found,CreateProjectThreadGroup 5-1,text,true,,710,114,1,5,http://localhost/,80,0,0
1653502243056,213,GetHost-1,200,OK,CreateProjectThreadGroup 5-1,text,true,,4997,174,1,5,http://localhost/login_page.php,213,0,0
1653502242939,398,ChangeBugStatus,200,OK,CloseIssueThreadGroup 3-1,text,true,,19163,743,1,5,http://localhost/bug_change_status_page.php,398,0,0
1653502243269,80,SendLogin,200,OK,CreateProjectThreadGroup 5-1,text,true,,5460,307,1,5,http://localhost/login_password_page.php,80,0,0
1653502242912,461,PostConfirmEmptyPassword,200,OK,CreateUserThreadGroup 4-1,text,true,,10193,539,1,5,http://localhost/manage_user_create.php,460,0,0
1653502243375,165,GetHost,200,OK,CreateUserThreadGroup 4-1,text,true,,5707,288,1,5,http://localhost/login_page.php,94,0,0
1653502243375,94,GetHost-0,302,Found,CreateUserThreadGroup 4-1,text,true,,710,114,1,5,http://localhost/,94,0,0
1653502243469,71,GetHost-1,200,OK,CreateUserThreadGroup 4-1,text,true,,4997,174,1,5,http://localhost/login_page.php,71,0,0
1653502242768,884,PostLogin,200,OK,LoginThreadGroup 1-1,text,true,,51082,1203,1,5,http://localhost/my_view_page.php,241,0,0
1653502242768,241,PostLogin-0,302,Found,LoginThreadGroup 1-1,text,true,,838,324,1,5,http://localhost/login.php,241,0,0
1653502243009,258,PostLogin-1,302,Found,LoginThreadGroup 1-1,text,true,,637,310,1,5,http://localhost/login_cookie_test.php?return=index.php,258,0,0
1653502243267,81,PostLogin-2,302,Found,LoginThreadGroup 1-1,text,true,,644,281,1,5,http://localhost/index.php,81,0,0
1653502243348,304,PostLogin-3,200,OK,LoginThreadGroup 1-1,text,true,,48963,288,1,5,http://localhost/my_view_page.php,303,0,0
1653502243540,122,SendLogin,200,OK,CreateUserThreadGroup 4-1,text,true,,5460,307,1,5,http://localhost/login_password_page.php,122,0,0
